Bytes, Url
40581358,   "http://sgpc.net/puratan-kirtan/Ajit Singh Alankary/01 Track 01 1.m4a",
64973794,   "http://sgpc.net/puratan-kirtan/Ajit Singh Alankary/01 Track 01.m4a",
40683171,   "http://sgpc.net/puratan-kirtan/Ajit Singh Alankary/02 Track 02 1.m4a",
106090769,   "http://sgpc.net/puratan-kirtan/Ajit Singh Alankary/02 Track 02.m4a",
37552339,   "http://sgpc.net/puratan-kirtan/Ajit Singh Alankary/03 Track 03.m4a",
52769970,   "http://sgpc.net/puratan-kirtan/Ajit Singh Alankary/04 Track 04.m4a",
54703462,   "http://sgpc.net/puratan-kirtan/Ajit Singh Alankary/ajitajit singh.mp3",
84557868,   "http://sgpc.net/puratan-kirtan/Ajit Singh Alankary/asa di vaar ajit singh.mp3",
111539531,   "http://sgpc.net/puratan-kirtan/Avtar Singh/01 Track 01.m4a",
000,   "http://sgpc.net/puratan-kirtan/Avtar Singh/01 Track 1.wma",
55263288,   "http://sgpc.net/puratan-kirtan/Avtar Singh/02 Track 02.m4a",
000,   "http://sgpc.net/puratan-kirtan/Avtar Singh/02 Track 2.wma",
13859045,   "http://sgpc.net/puratan-kirtan/Avtar Singh/03 Track 03.m4a",
000,   "http://sgpc.net/puratan-kirtan/Avtar Singh/03 Track 3.wma",
21018668,   "http://sgpc.net/puratan-kirtan/Avtar Singh/ab mohe ram apna kar janya.mp3",
20523008,   "http://sgpc.net/puratan-kirtan/Avtar Singh/Artist Mohan nind na aave haveh.mp3",
26922018,   "http://sgpc.net/puratan-kirtan/Avtar Singh/asa ki var %282%29.mp3",
9635874,   "http://sgpc.net/puratan-kirtan/Avtar Singh/asa ki var %283%29.mp3",
45709854,   "http://sgpc.net/puratan-kirtan/Avtar Singh/asa ki var %284%29.mp3",
26197534,   "http://sgpc.net/puratan-kirtan/Avtar Singh/asa ki var %285%29.mp3",
50852082,   "http://sgpc.net/puratan-kirtan/Avtar Singh/asa ki var %286%29.mp3",
82401822,   "http://sgpc.net/puratan-kirtan/Avtar Singh/asa ki var.mp3",
28605375,   "http://sgpc.net/puratan-kirtan/Avtar Singh/at ooncha ta ka darbara.mp3",
92280918,   "http://sgpc.net/puratan-kirtan/Avtar Singh/avtar singh 12.mp3",
88212504,   "http://sgpc.net/puratan-kirtan/Avtar Singh/avtar singh 14.mp3",
92800859,   "http://sgpc.net/puratan-kirtan/Avtar Singh/avtar singh 15.mp3",
59631616,   "http://sgpc.net/puratan-kirtan/Avtar Singh/Avtar Singh Asa Di Var Part.mp3",
47259648,   "http://sgpc.net/puratan-kirtan/Avtar Singh/Avtar SinghAsa DiVarPart%5D.mp3",
17762304,   "http://sgpc.net/puratan-kirtan/Avtar Singh/Avtar Singh Halay yara halay  yarakhush khabri.mp3",
12236800,   "http://sgpc.net/puratan-kirtan/Avtar Singh/AvtarSingh Har jas gavoh bhagvan%5B.mp3",
33974272,   "http://sgpc.net/puratan-kirtan/Avtar Singh/Avtar Singh Jou kirpa gobind bhai.mp3",
29648896,   "http://sgpc.net/puratan-kirtan/Avtar Singh/Avtar Singh Kirpa karo deen ke.mp3",
78412197,   "http://sgpc.net/puratan-kirtan/Avtar Singh/avtar singh same 13 1.mp3",
11749797,   "http://sgpc.net/puratan-kirtan/Avtar Singh/avtar singh same 13 2.mp3",
13709304,   "http://sgpc.net/puratan-kirtan/Avtar Singh/ghalley aaveh nanak.mp3",
21995554,   "http://sgpc.net/puratan-kirtan/Avtar Singh/gun naad dhun anand bhe%5D.mp3",
29538341,   "http://sgpc.net/puratan-kirtan/Avtar Singh/gur munar priy dyar.mp3",
30157864,   "http://sgpc.net/puratan-kirtan/Avtar Singh/guru arjan parthak har.mp3",
8345639,   "http://sgpc.net/puratan-kirtan/Avtar Singh/har jas gavoh %28katha.mp3",
21487143,   "http://sgpc.net/puratan-kirtan/Avtar Singh/har jas gavoh bhagwan.mp3",
16695211,   "http://sgpc.net/puratan-kirtan/Avtar Singh/har ji mata har ji pita%5B.mp3",
21012620,   "http://sgpc.net/puratan-kirtan/Avtar Singh/har ju rkah elho pat meri.mp3",
13106086,   "http://sgpc.net/puratan-kirtan/Avtar Singh/har ju rkah elho pat meri guldasta.mp3",
43468843,   "http://sgpc.net/puratan-kirtan/Avtar Singh/hou gosain da pehalvanra.mp3",
16665120,   "http://sgpc.net/puratan-kirtan/Avtar Singh/ja ka meet sajan hai samiya.mp3",
21088380,   "http://sgpc.net/puratan-kirtan/Avtar Singh/jis papi ko mile na dhoi.mp3",
15867535,   "http://sgpc.net/puratan-kirtan/Avtar Singh/kahyo man lai mero.mp3",
22551977,   "http://sgpc.net/puratan-kirtan/Avtar Singh/karta tu mai maan nimani.mp3",
10285603,   "http://sgpc.net/puratan-kirtan/Avtar Singh/katha ab mohe ram%29.mp3",
15147500,   "http://sgpc.net/puratan-kirtan/Avtar Singh/kaval nayn madhur bayn.mp3",
46290999,   "http://sgpc.net/puratan-kirtan/Avtar Singh/madhveh tom na toro.mp3",
18987008,   "http://sgpc.net/puratan-kirtan/Avtar Singh/mai nahin sabh kich tera.mp3",
29885992,   "http://sgpc.net/puratan-kirtan/Avtar Singh/mat jan seh galli paya.mp3",
28590633,   "http://sgpc.net/puratan-kirtan/Avtar Singh/mere hiyre ratan nam har vasiya.mp3",
28994094,   "http://sgpc.net/puratan-kirtan/Avtar Singh/mere ram ham papi saran pare.mp3",
12188369,   "http://sgpc.net/puratan-kirtan/Avtar Singh/mith bolraa jee.mp3",
21835302,   "http://sgpc.net/puratan-kirtan/Avtar Singh/parmesar ditta banna.mp3",
8088588,   "http://sgpc.net/puratan-kirtan/Avtar Singh/prabh jeeo khasmana kar pyare.mp3",
22298160,   "http://sgpc.net/puratan-kirtan/Avtar Singh/preet preet guriya mohan lalana.mp3",
16518736,   "http://sgpc.net/puratan-kirtan/Avtar Singh/re man ram si kar preet.mp3",
12696112,   "http://sgpc.net/puratan-kirtan/Avtar Singh/sabhai jee samal apni mehr kar.mp3",
11328201,   "http://sgpc.net/puratan-kirtan/Avtar Singh/sanjog vijog dhuroh hi hua.mp3",
12125668,   "http://sgpc.net/puratan-kirtan/Avtar Singh/thir ghar baiso har jan pyare.mp3",
17303877,   "http://sgpc.net/puratan-kirtan/Bahadur Singh Ji/Bal Jaaon/oh bela ko houn bal jaoun.mp3",
4422253,   "http://sgpc.net/puratan-kirtan/Balbir Singh/anand sahib ramkali.mp3",
7622998,   "http://sgpc.net/puratan-kirtan/Balbir Singh/at pritam man mohna.mp3",
5539876,   "http://sgpc.net/puratan-kirtan/Balbir Singh/bisar gyi sabh tat parayi guldasta kauns.mp3",
12500182,   "http://sgpc.net/puratan-kirtan/Balbir Singh/hal muridan da kehna.mp3",
16847325,   "http://sgpc.net/puratan-kirtan/Balbir Singh/jhagardang nagardang bhagardang baje.mp3",
23747947,   "http://sgpc.net/puratan-kirtan/Balbir Singh/kat jaiye re ghar lago rang.mp3",
16471828,   "http://sgpc.net/puratan-kirtan/Balbir Singh/maerae preethamaa ho jeevaa naam dhhiaae partal sri raga.mp3",
10280278,   "http://sgpc.net/puratan-kirtan/Balbir Singh/meri abe benti sun leejai.mp3",
20145907,   "http://sgpc.net/puratan-kirtan/Balbir Singh/mitter pyare nu hal mureedan da kehna.mp3",
16312023,   "http://sgpc.net/puratan-kirtan/Balbir Singh/naaraaein nindhas kaae bhoolee gavaaree.mp3",
6955099,   "http://sgpc.net/puratan-kirtan/Balbir Singh/nirjur niru ho ke sundar sarup ho.mp3",
13236310,   "http://sgpc.net/puratan-kirtan/Balbir Singh/pati tore malini.mp3",
9048406,   "http://sgpc.net/puratan-kirtan/Balbir Singh/puta mata ki asees.mp3",
6791638,   "http://sgpc.net/puratan-kirtan/Balbir Singh/tadr dani tum dani short.mp3",
5387545,   "http://sgpc.net/puratan-kirtan/Balbir Singh/tadr dani tum dani talal tum terena.mp3",
14433517,   "http://sgpc.net/puratan-kirtan/Balbir Singh/thum ravahu gobindhai ravan jog.mp3",
10268374,   "http://sgpc.net/puratan-kirtan/Balbir Singh/trin te mer karo.mp3",
5152342,   "http://sgpc.net/puratan-kirtan/Balbir Singh/tu kun re mai ji nama eh.mp3",
62968918,   "http://sgpc.net/puratan-kirtan/Balbir Singh/veer ras shabads.mp3",
16922627,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/AAA2%2520AW2%5B1%5D.mp3",
15567812,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/AAA3%2520AW3%5B1%5D.mp3",
16790343,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/AAA5%2520AW5%5B1%5D.mp3",
9225699,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/AAA6%2520AW6%5B1%5D.mp3",
15656524,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/AAA7%2520AW7%5B1%5D.mp3",
8479091,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/aisi%2520lal%2520tujh%2520bin%2520koun%2520kare%5B1%5D.mp3",
1578771,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/apney%2520sevak%2520ki%2520apey%2520rakhey%5B1%5D.mp3",
8902976,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/avval%2520allah%2520nur%2520upaya%5B1%5D.mp3",
45158995,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/Bhai%2520Bakhshish%2520Singh%2520Jee%2520Raag%2520Maalha%2520A%5B1%5D.mp3",
9146380,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/Bhai%2520Bakhshish%2520Singh%2520Jee%2520Raag%2520Maalha%2520B%5B1%5D.mp3",
4777950,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/Bhai%2520Bakshish%2520Singh%2520Jee%2520B%5B1%5D.mp3",
9936021,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/bhainey%2520sawan%2520aaya%5B1%5D.mp3",
15186006,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/BHAKSHISH SINGH.mp3",
833023,   "http://sgpc.net/puratan-kirtan/Bhakshish Singh/binsee%2520dutiya%2520soch%5B1%5D.mp3",
